reaction_id,mass_transition_round,mass_transition,substrate_id,substrate_mnx_id,substrate_mm,product_id,product_mnx_id,product_mm
9507,446.94,446.9404249056398,3297,MNXM75,44.026214748,25712,MNXM397,490.96663965363985
9507,238.09,238.0934656640898,15085,MNXM332,252.87317398955005,25712,MNXM397,490.96663965363985
9507,280.9,280.90337695772985,20861,MNXM3194,210.06326269591,25712,MNXM397,490.96663965363985
7315,26.99,26.987638167910006,9759,MNXM888,111.0320284,6611,MNXM773,138.01966656791
2436,209.99,209.99403635382,26650,MNXM1156,152.015667128,3770,MNXM3196,362.00970348182
12148,240.0,240.00460103781995,23854,MNXM1855,124.052429496,11672,MNXM3356,364.05703053381995
5274,-18.01,-18.009467524179968,17701,MNXM6955,380.01917100599997,3770,MNXM3196,362.00970348182
36071,-232.97,-232.96601323799993,6994,MNXM5574,379.03515541799993,1031,MNXM37,146.06914218
36071,0.98,0.9840155880000339,6994,MNXM5574,379.03515541799993,17701,MNXM6955,380.01917100599997
32016,17.99,17.992806443999996,22637,MNXM4423,144.078644244,3056,MNXM5029,162.071450688
24126,101.05,101.04767846400003,3056,MNXM5029,162.071450688,20176,MNXM3883,263.119129152
24126,144.06,144.06088600400003,9481,MNXM142,119.058243148,20176,MNXM3883,263.119129152
37600,0.0,0.0,18434,MNXM1184,228.00460103782,21778,MNXM145,228.00460103782
24798,137.06,137.058911844,13777,MNXM192,103.063328528,1447,MNXM56612,240.122240372
1666,85.05,85.052763844,5872,MNXM26,59.01385291591001,11926,MNXM2083,144.06661675991
1666,41.0,41.003288231910005,13777,MNXM192,103.063328528,11926,MNXM2083,144.06661675991
9912,-2.04,-2.03891092808999,9968,MNXM1106,74.06004029609,15238,MNXM310,72.021129368
10172,-2.04,-2.03891092808999,19887,MNXM268,160.06153137991,388,MNXM263,158.02262045182002
10172,14.02,14.015650063999999,27248,MNXM20,144.00697038782002,388,MNXM263,158.02262045182002
15188,-2.04,-2.0389109280900186,3834,MNXM713,167.99721687191,23236,MNXM594,165.95830594382
28330,240.0,240.00460103781995,791,MNXM376,110.036779432,21896,MNXM2806,350.04138046981996
3021,2.04,2.03891092808999,20739,MNXM172,101.02441759991001,13777,MNXM192,103.063328528
3021,42.98,42.98255278791001,20739,MNXM172,101.02441759991001,27248,MNXM20,144.00697038782002
10398,-14.99,-14.987638167910006,13777,MNXM192,103.063328528,23441,MNXM422,88.07569036009
17580,14.99,14.987638167910006,3297,MNXM75,44.026214748,5872,MNXM26,59.01385291591001
21864,-44.03,-44.026214748,16132,MNXM664,88.052429496,3297,MNXM75,44.026214748
11871,-42.01,-42.010564684,21207,MNXM1939,178.05096669591,23274,MNXM188,136.04040201191
42075,44.03,44.026214747999916,16925,MNXM256,422.02259027182,13169,MNXM1705,466.0488050198199
27357,-0.02,-0.023260864089991173,11513,MNXM1128,101.047678464,11908,MNXM159,101.02441759991001
16691,15.02,15.022926516089996,10819,MNXM276,147.01213866391,4838,MNXM494,162.03506518
30118,77.95,77.95177761782003,26357,MNXM23,87.00876753591001,12505,MNXM73,164.96054515373004
35413,-77.95,-77.95177761782003,12505,MNXM73,164.96054515373004,26357,MNXM23,87.00876753591001
42854,-78.96,-78.95905406991002,23892,MNXM1384,266.00822361773004,6184,MNXM730,187.04916954782001
42376,87.1,87.10370225617999,5872,MNXM26,59.01385291591001,21373,MNXM793,146.11755517209
42376,42.01,42.010564684,14993,MNXM90,104.10699048808999,21373,MNXM793,146.11755517209
30582,71.09,71.08552677208999,5872,MNXM26,59.01385291591001,11590,MNXM7451,130.099379688
30582,42.01,42.010564684,9674,MNXM1670,88.088815004,11590,MNXM7451,130.099379688
29755,42.01,42.010564684,3848,MNXM5188,74.07316494,5317,MNXM57835,116.083729624
29755,57.07,57.06987670808999,5872,MNXM26,59.01385291591001,5317,MNXM57835,116.083729624
32500,78.96,78.95905406991,5872,MNXM26,59.01385291591001,10490,MNXM280,137.97290698582
14878,77.95,77.95177761782003,26357,MNXM23,87.00876753591001,12505,MNXM73,164.96054515373004
20549,-77.95,-77.95177761782003,12505,MNXM73,164.96054515373004,26357,MNXM23,87.00876753591001
8227,115.09,115.08658939208999,5872,MNXM26,59.01385291591001,6097,MNXM817,174.100442308
7234,2.04,2.03891092808999,1650,MNXM1062,172.06153137991,6097,MNXM817,174.100442308
18779,88.04,88.03930485209,5872,MNXM26,59.01385291591001,19786,MNXM418,147.053157768
31279,88.04,88.03930485209,5872,MNXM26,59.01385291591001,19786,MNXM418,147.053157768
13013,2.02,2.015650063999999,19970,MNXM1467,86.036779432,16132,MNXM664,88.052429496
1297,-44.03,-44.026214748,16132,MNXM664,88.052429496,3297,MNXM75,44.026214748
11600,2.02,2.015650063999999,19970,MNXM1467,86.036779432,16132,MNXM664,88.052429496
29744,-2.02,-2.015650063999999,18886,MNXM1744,74.036779432,15238,MNXM310,72.021129368
31614,-15.99,-15.994914620000003,18886,MNXM1744,74.036779432,18802,MNXM398,58.041864812
15583,78.96,78.95905406991,5872,MNXM26,59.01385291591001,10490,MNXM280,137.97290698582
23921,-77.95,-77.95177761782003,25977,MNXM266,305.04238351382,11259,MNXM704,227.090605896
13973,85.05,85.052763844,27248,MNXM20,144.00697038782002,14181,MNXM1872,229.05973423182002
15339,-88.02,-88.016043988,10752,MNXM1458,224.05644599991,19867,MNXM421,136.04040201191
22550,-77.99,-77.98730381991001,10752,MNXM1458,224.05644599991,1031,MNXM37,146.06914218
22550,-0.02,-0.023260864089991173,10752,MNXM1458,224.05644599991,14580,MNXM337,224.03318513582002
