EC-Number	Pfam-Domain	Confidence-Score	Type	In-InterPro
3.5.4.6	PF00962	0.1793880556	SILVER	No
1.14.12.14	PF00848	0.0717216667	SILVER	No
1.14.12.14	PF00866	0.0857238889	SILVER	No
1.14.12.15	PF00848	0.0604675	SILVER	No
1.14.12.15	PF00866	0.0737646889	SILVER	No
1.14.12.15	PF00970	0.0415366444	SILVER	No
1.14.12.15	PF00111	0.0602987139	SILVER	No
1.14.12.17	PF00042	0.5782214	GOLD	No
1.14.12.17	PF00970	0.2640252222	GOLD	No
1.14.12.17	PF00175	0.2210876111	GOLD	No
1.14.12.10	PF00848	0.0942853333	SILVER	No
1.14.12.10	PF00866	0.1119183889	SILVER	No
1.14.12.10	PF00355	0.0470312778	SILVER	No
1.14.12.11	PF00355	0.0408463444	SILVER	No
1.14.12.11	PF00848	0.0876227111	SILVER	No
1.14.12.11	PF00866	0.0990015722	SILVER	No
1.14.12.12	PF00848	0.1766311111	GOLD	No
1.14.12.12	PF00866	0.1890165556	GOLD	No
1.14.12.12	PF00355	0.0832326667	GOLD	No
1.2.1.8	PF00732	0.2851935367	SILVER	No
1.2.1.8	PF00171	0.2730772222	GOLD	No
1.2.1.8	PF05199	0.2793953618	SILVER	No
3.5.1.103	PF02585	0.7209601111	GOLD	No
1.2.1.5	PF10250	0.0439205	GOLD	No
1.2.1.5	PF00171	0.0820358111	GOLD	No
1.2.1.4	PF00171	0.0439055	GOLD	No
1.14.12.18	PF00848	0.222263	GOLD	No
1.14.12.18	PF00866	0.1579248333	GOLD	No
1.14.12.18	PF00355	0.1014171667	GOLD	No
1.2.1.2	PF04432	0.1012126333	GOLD	No
1.2.1.2	PF12838	0.0455165056	GOLD	No
1.2.1.2	PF02826	0.08519635	GOLD	No
1.2.1.2	PF04879	0.1495725	GOLD	No
1.2.1.2	PF13183	0.0417597556	SILVER	No
1.2.1.2	PF01568	0.1375631833	GOLD	No
1.2.1.2	PF10588	0.1229534444	GOLD	No
1.2.1.2	PF13237	0.044717	SILVER	No
1.2.1.2	PF00384	0.1277754222	GOLD	No
1.2.1.2	PF00389	0.1058741333	GOLD	No
1.2.1.2	PF04422	0.1004414722	GOLD	No
1.4.3.3	PF01266	0.1440588333	GOLD	No
1.4.3.2	PF01593	0.3116951667	GOLD	No
1.4.3.1	PF01266	0.0961856667	GOLD	No
1.4.3.5	PF01243	0.9620728333	GOLD	Yes
1.4.3.5	PF12766	0.0452726111	SILVER	No
1.4.3.5	PF10590	0.9630343889	GOLD	Yes
1.4.3.4	PF01593	0.2827385	GOLD	No
2.3.1.95	PF02797	0.1402702389	SILVER	No
2.3.1.95	PF00195	0.1474236167	SILVER	No
2.3.1.94	PF00109	0.1515056667	GOLD	No
2.3.1.94	PF00550	0.1199667111	SILVER	No
2.3.1.94	PF00975	0.0867252056	SILVER	No
2.3.1.94	PF14765	0.1078571111	SILVER	No
2.3.1.94	PF08659	0.11407745	SILVER	No
2.3.1.94	PF02801	0.1522846111	GOLD	No
2.3.1.94	PF00698	0.1759807222	GOLD	No
2.3.1.94	PF09277	0.3376137778	SILVER	No
2.3.1.94	PF08990	0.4155288333	GOLD	No
2.3.1.97	PF01233	0.947466	GOLD	Yes
2.3.1.97	PF02799	0.9388866667	GOLD	Yes
4.1.1.44	PF02627	0.1132686667	SILVER	No
2.3.1.91	PF00450	0.056078	SILVER	No
2.3.1.93	PF02458	0.0997805556	SILVER	No
2.8.1.11	PF00899	0.5155187222	GOLD	No
2.8.1.11	PF00581	0.2348340139	SILVER	No
2.8.1.11	PF05237	0.5118958333	GOLD	No
3.6.1.53	PF00149	0.0716328889	SILVER	No
3.6.1.52	PF00293	0.1638724222	GOLD	No
3.6.1.55	PF00293	0.1847534444	GOLD	No
2.1.1.109	PF00891	0.0969470556	GOLD	No
3.6.1.56	PF00293	0.0702636278	SILVER	No
2.1.1.104	PF01596	0.5033113333	GOLD	No
3.6.1.58	PF00293	0.1087305	GOLD	No
1.14.14.14	PF00067	0.11539325	SILVER	No
2.1.1.107	PF10414	0.554883	GOLD	Yes
2.1.1.107	PF04375	0.0694699444	SILVER	No
2.1.1.107	PF13241	0.5299236667	GOLD	Yes
2.1.1.107	PF14824	0.1012000222	GOLD	Yes
2.1.1.107	PF00590	0.4394867222	GOLD	No
1.14.14.12	PF01613	0.0567011111	GOLD	No
1.14.14.12	PF08028	0.5084007222	GOLD	No
1.14.14.12	PF02771	0.1121391722	GOLD	No
1.14.14.13	PF00296	0.04734825	SILVER	No
1.14.14.10	PF00296	0.0575490556	SILVER	No
2.1.1.103	PF08241	0.0866196667	GOLD	No
2.1.1.103	PF13847	0.0434657389	SILVER	No
5.4.2.2	PF00408	0.2446545556	GOLD	No
5.4.2.2	PF02880	0.2499562778	GOLD	No
5.4.2.2	PF02878	0.2444947222	GOLD	No
